"plays_chess","sex","plays_sports","reading_hours_per_week","speak_more_than_one_language","major_category","plays_instrument","plays_videogames","eats_fast_food","drink_alchohol_regularly","social_person","GPA"
1,1,1,2,0,2,1,1,1,0,0,2.9
1,1,1,4,1,4,0,0,0,1,1,2
0,0,1,2,1,1,0,1,0,0,0,3.33333333
0,1,0,3,0,2,1,0,0,0,0,3.56
1,1,1,2,1,2,1,0,1,1,1,2.7
1,0,0,3,0,3,1,1,0,1,1,2.8
0,0,1,1,1,3,1,1,0,1,1,3.94
0,1,1,3,0,3,1,1,0,1,1,2.87
0,0,0,4,0,1,0,0,0,0,0,3.4
0,1,1,2,1,2,1,0,1,1,1,3.41
0,1,0,3,0,2,1,0,0,0,1,3.79
1,1,1,3,0,2,1,1,0,1,1,4.11
0,0,0,4,1,3,1,0,1,1,1,3
0,0,1,3,1,1,1,1,1,1,1,3.89
1,1,1,1,0,2,0,0,1,1,1,3.76
0,0,1,4,0,3,1,1,0,0,1,3.16
0,0,0,5,0,3,0,1,0,1,1,3.1
0,0,0,3,1,1,1,0,1,1,0,3.89
1,0,0,3,1,2,0,1,0,1,1,3.8
0,1,0,3,0,4,1,0,1,0,0,3
1,1,1,4,0,1,0,0,1,1,1,2.6
0,0,0,3,0,1,0,0,0,1,1,3.82
0,1,1,1,0,3,1,0,0,0,1,3.94
